Name;Kunden;lat;lon;Landkreis;Postleitzahl;Land
Bäckerei Schwind;0;49.8784921;10.1222588; Landkreis Würzburg;97279;Deutschland
Astheim;3;49.8616119;10.2158707; Landkreis Kitzingen;97332;Deutschland
Bergtheim;10;49.8986745;10.0688617; Landkreis Würzburg;97241;Deutschland
Bibergau;3;49.7969472;10.1067263; Landkreis Kitzingen;97337;Deutschland
Dettelbach;3;49.8022738;10.1612858; Landkreis Kitzingen;97337;Deutschland
Dipbach;50;49.8984944;10.1238773; Landkreis Würzburg;97241;Deutschland
Escherndorf;10;49.861478;10.1738952; Landkreis Kitzingen;97332;Deutschland
Estenfeld;3;49.8286521;10.0081286; Landkreis Würzburg;97230;Deutschland
Euerfeld;3;49.8233762;10.107345; Landkreis Kitzingen;97337;Deutschland
Kürnach;25;49.8462411;10.0411025; Landkreis Würzburg;97273;Deutschland
Mühlhausen;3;49.858799;10.0107728; Landkreis Würzburg;97230;Deutschland
Neusetz;3;49.8400915;10.1470339; Landkreis Kitzingen;97337;Deutschland
Obereisenheim;10;49.8914154;10.1802876; Landkreis Würzburg;97247;Deutschland
Oberpleichfeld;40;49.8769993;10.0865473; Landkreis Würzburg;97241;Deutschland
Opferbaum;3;49.9234257;10.0777571; Landkreis Würzburg;97241;Deutschland
Prosselsheim;50;49.8639445;10.1265733; Landkreis Würzburg;97279;Deutschland
Püssensheim;50;49.8780851;10.1231264; Landkreis Würzburg;97279;Deutschland
Schernau;3;49.8244961;10.1233407; Landkreis Kitzingen;97337;Deutschland
Schnepfenbach;3;49.8309969;10.1489589; Landkreis Kitzingen;97337;Deutschland
Schwanfeld;20;49.9208761;10.138795; Landkreis Schweinfurt;97523;Deutschland
Seligenstadt bei Würzburg;5;49.8543747;10.1024772; Landkreis Würzburg;97279;Deutschland
Sommerach;3;49.8298071;10.2029513; Landkreis Kitzingen;97334;Deutschland
Untereisenheim;20;49.8841114;10.1568027; Landkreis Schweinfurt;97247;Deutschland
Unterpleichfeld;5;49.8676473;10.045426; Landkreis Würzburg;97294;Deutschland
Volkach;3;49.8621966;10.2314694; Landkreis Kitzingen;97332;Deutschland
Wipfeld;5;49.9210878;10.1742316; Landkreis Schweinfurt;97537;Deutschland
Würzburg;5;49.79245;9.932966;Würzburg ;97070;Deutschland
